department_name,hospital_name,severity,readmitted_count,total_count
Maternity & Obstetrics,Valley General Hospital,Critical,13,224
Maternity & Obstetrics,Valley General Hospital,Mild,51,642
Maternity & Obstetrics,Valley General Hospital,Moderate,110,1280
Maternity & Obstetrics,Valley General Hospital,Severe,64,1087
Neonatal ICU,Bagmati Community Hospital,Critical,6,171
Neonatal ICU,Bagmati Community Hospital,Mild,0,1
Neonatal ICU,Bagmati Community Hospital,Moderate,0,14
Neonatal ICU,Bagmati Community Hospital,Severe,5,73
Neonatal ICU,Bhaktapur District Hospital,Critical,3,133
Neonatal ICU,Bhaktapur District Hospital,Mild,0,1
Neonatal ICU,Bhaktapur District Hospital,Moderate,0,10
Neonatal ICU,Bhaktapur District Hospital,Severe,3,69
Neonatal ICU,Himal Teaching Hospital,Critical,13,390
Neonatal ICU,Himal Teaching Hospital,Moderate,4,35
Neonatal ICU,Himal Teaching Hospital,Severe,6,174
Neonatal ICU,Trishuli Referral Hospital,Critical,8,84
Neonatal ICU,Trishuli Referral Hospital,Moderate,0,5
Neonatal ICU,Trishuli Referral Hospital,Severe,3,40
Neonatal ICU,Valley General Hospital,Critical,20,349
Neonatal ICU,Valley General Hospital,Mild,1,3
Neonatal ICU,Valley General Hospital,Moderate,1,32
Neonatal ICU,Valley General Hospital,Severe,10,146
Nephrology,Bagmati Community Hospital,Critical,1,36
Nephrology,Bagmati Community Hospital,Mild,8,122
Nephrology,Bagmati Community Hospital,Moderate,11,188
Nephrology,Bagmati Community Hospital,Severe,15,152
Nephrology,Bhaktapur District Hospital,Critical,1,16
Nephrology,Bhaktapur District Hospital,Mild,7,75
Nephrology,Bhaktapur District Hospital,Moderate,13,142
Nephrology,Bhaktapur District Hospital,Severe,7,139
Nephrology,Himal Teaching Hospital,Critical,2,57
Nephrology,Himal Teaching Hospital,Mild,14,197
Nephrology,Himal Teaching Hospital,Moderate,36,385
Nephrology,Himal Teaching Hospital,Severe,19,328
Nephrology,Trishuli Referral Hospital,Critical,0,11
Nephrology,Trishuli Referral Hospital,Mild,1,37
Nephrology,Trishuli Referral Hospital,Moderate,3,79
Nephrology,Trishuli Referral Hospital,Severe,6,79
Nephrology,Valley General Hospital,Critical,3,63
Nephrology,Valley General Hospital,Mild,12,170
Nephrology,Valley General Hospital,Moderate,27,343
Nephrology,Valley General Hospital,Severe,18,293
Neurology,Bagmati Community Hospital,Critical,3,46
Neurology,Bagmati Community Hospital,Mild,8,122
Neurology,Bagmati Community Hospital,Moderate,15,218
Neurology,Bagmati Community Hospital,Severe,14,192
Neurology,Bhaktapur District Hospital,Critical,0,24
Neurology,Bhaktapur District Hospital,Mild,5,100
Neurology,Bhaktapur District Hospital,Moderate,14,191
Neurology,Bhaktapur District Hospital,Severe,10,135
Neurology,Himal Teaching Hospital,Critical,2,96
Neurology,Himal Teaching Hospital,Mild,15,284
Neurology,Himal Teaching Hospital,Moderate,31,453
Neurology,Himal Teaching Hospital,Severe,14,382
Neurology,Trishuli Referral Hospital,Critical,0,26
Neurology,Trishuli Referral Hospital,Mild,4,61
Neurology,Trishuli Referral Hospital,Moderate,12,126
Neurology,Trishuli Referral Hospital,Severe,3,96
Neurology,Valley General Hospital,Critical,3,65
Neurology,Valley General Hospital,Mild,19,232
Neurology,Valley General Hospital,Moderate,33,392
Neurology,Valley General Hospital,Severe,20,324
Oncology,Bagmati Community Hospital,Critical,0,25
Oncology,Bagmati Community Hospital,Mild,4,74
Oncology,Bagmati Community Hospital,Moderate,8,144
Oncology,Bagmati Community Hospital,Severe,13,128
Oncology,Bhaktapur District Hospital,Critical,0,21
Oncology,Bhaktapur District Hospital,Mild,4,79
Oncology,Bhaktapur District Hospital,Moderate,7,96
Oncology,Bhaktapur District Hospital,Severe,4,76
Oncology,Himal Teaching Hospital,Critical,4,74
Oncology,Himal Teaching Hospital,Mild,14,148
Oncology,Himal Teaching Hospital,Moderate,14,324
Oncology,Himal Teaching Hospital,Severe,15,249
Oncology,Trishuli Referral Hospital,Critical,1,12
Oncology,Trishuli Referral Hospital,Mild,1,39
Oncology,Trishuli Referral Hospital,Moderate,3,62
Oncology,Trishuli Referral Hospital,Severe,3,58
Oncology,Valley General Hospital,Critical,3,51
Oncology,Valley General Hospital,Mild,13,152
Oncology,Valley General Hospital,Moderate,15,270
Oncology,Valley General Hospital,Severe,11,235
Ophthalmology,Bagmati Community Hospital,Critical,1,15
Ophthalmology,Bagmati Community Hospital,Mild,1,43
Ophthalmology,Bagmati Community Hospital,Moderate,7,86
Ophthalmology,Bagmati Community Hospital,Severe,2,75
Ophthalmology,Bhaktapur District Hospital,Critical,0,12
Ophthalmology,Bhaktapur District Hospital,Mild,1,28
Ophthalmology,Bhaktapur District Hospital,Moderate,4,76
Ophthalmology,Bhaktapur District Hospital,Severe,2,60
Ophthalmology,Himal Teaching Hospital,Critical,1,40
Ophthalmology,Himal Teaching Hospital,Mild,9,117
Ophthalmology,Himal Teaching Hospital,Moderate,15,198
Ophthalmology,Himal Teaching Hospital,Severe,8,148
Ophthalmology,Trishuli Referral Hospital,Critical,0,9
Ophthalmology,Trishuli Referral Hospital,Mild,2,27
Ophthalmology,Trishuli Referral Hospital,Moderate,0,41
Ophthalmology,Trishuli Referral Hospital,Severe,2,41
Ophthalmology,Valley General Hospital,Critical,2,30
Ophthalmology,Valley General Hospital,Mild,9,108
Ophthalmology,Valley General Hospital,Moderate,13,180
Ophthalmology,Valley General Hospital,Severe,8,129
Orthopedics,Bagmati Community Hospital,Critical,5,101
Orthopedics,Bagmati Community Hospital,Mild,18,277
Orthopedics,Bagmati Community Hospital,Moderate,41,519
Orthopedics,Bagmati Community Hospital,Severe,29,448
Orthopedics,Bhaktapur District Hospital,Critical,4,59
Orthopedics,Bhaktapur District Hospital,Mild,16,207
Orthopedics,Bhaktapur District Hospital,Moderate,34,401
Orthopedics,Bhaktapur District Hospital,Severe,12,301
Orthopedics,Himal Teaching Hospital,Critical,13,211
Orthopedics,Himal Teaching Hospital,Mild,59,628
Orthopedics,Himal Teaching Hospital,Moderate,60,1139
Orthopedics,Himal Teaching Hospital,Severe,62,959
Orthopedics,Trishuli Referral Hospital,Critical,1,54
Orthopedics,Trishuli Referral Hospital,Mild,12,135
Orthopedics,Trishuli Referral Hospital,Moderate,23,309
Orthopedics,Trishuli Referral Hospital,Severe,13,203
Orthopedics,Valley General Hospital,Critical,7,162
Orthopedics,Valley General Hospital,Mild,39,537
Orthopedics,Valley General Hospital,Moderate,57,931
Orthopedics,Valley General Hospital,Severe,46,815
Pediatrics,Bagmati Community Hospital,Critical,4,99
Pediatrics,Bagmati Community Hospital,Mild,20,334
Pediatrics,Bagmati Community Hospital,Moderate,50,600
Pediatrics,Bagmati Community Hospital,Severe,30,505
Pediatrics,Bhaktapur District Hospital,Critical,5,90
Pediatrics,Bhaktapur District Hospital,Mild,20,237
Pediatrics,Bhaktapur District Hospital,Moderate,29,463
Pediatrics,Bhaktapur District Hospital,Severe,22,395
Pediatrics,Himal Teaching Hospital,Critical,9,237
Pediatrics,Himal Teaching Hospital,Mild,45,704
Pediatrics,Himal Teaching Hospital,Moderate,89,1284
Pediatrics,Himal Teaching Hospital,Severe,59,1051
Pediatrics,Trishuli Referral Hospital,Critical,3,52
Pediatrics,Trishuli Referral Hospital,Mild,15,149
Pediatrics,Trishuli Referral Hospital,Moderate,21,299
Pediatrics,Trishuli Referral Hospital,Severe,13,229
Pediatrics,Valley General Hospital,Critical,7,213
Pediatrics,Valley General Hospital,Mild,32,573
Pediatrics,Valley General Hospital,Moderate,79,1146
Pediatrics,Valley General Hospital,Severe,47,909
Psychiatry,Bagmati Community Hospital,Critical,1,16
Psychiatry,Bagmati Community Hospital,Mild,3,45
Psychiatry,Bagmati Community Hospital,Moderate,3,77
Psychiatry,Bagmati Community Hospital,Severe,2,59
Psychiatry,Bhaktapur District Hospital,Critical,2,14
Psychiatry,Bhaktapur District Hospital,Mild,1,33
Psychiatry,Bhaktapur District Hospital,Moderate,3,54
Psychiatry,Bhaktapur District Hospital,Severe,1,36
Psychiatry,Himal Teaching Hospital,Critical,0,20
Psychiatry,Himal Teaching Hospital,Mild,10,90
Psychiatry,Himal Teaching Hospital,Moderate,7,161
Psychiatry,Himal Teaching Hospital,Severe,2,118
Psychiatry,Trishuli Referral Hospital,Critical,0,7
Psychiatry,Trishuli Referral Hospital,Mild,1,20
Psychiatry,Trishuli Referral Hospital,Moderate,2,39
Psychiatry,Trishuli Referral Hospital,Severe,3,30
Psychiatry,Valley General Hospital,Critical,2,29
Psychiatry,Valley General Hospital,Mild,6,74
Psychiatry,Valley General Hospital,Moderate,16,139
Psychiatry,Valley General Hospital,Severe,10,103
Pulmonology,Bagmati Community Hospital,Critical,0,45
Pulmonology,Bagmati Community Hospital,Mild,11,129
Pulmonology,Bagmati Community Hospital,Moderate,10,226
Pulmonology,Bagmati Community Hospital,Severe,13,177
Pulmonology,Bhaktapur District Hospital,Critical,3,31
Pulmonology,Bhaktapur District Hospital,Mild,1,89
Pulmonology,Bhaktapur District Hospital,Moderate,10,136
Pulmonology,Bhaktapur District Hospital,Severe,11,162
Pulmonology,Himal Teaching Hospital,Critical,3,103
Pulmonology,Himal Teaching Hospital,Mild,18,262
Pulmonology,Himal Teaching Hospital,Moderate,34,476
Pulmonology,Himal Teaching Hospital,Severe,26,359
Pulmonology,Trishuli Referral Hospital,Critical,1,23
Pulmonology,Trishuli Referral Hospital,Mild,3,61
Pulmonology,Trishuli Referral Hospital,Moderate,5,119
Pulmonology,Trishuli Referral Hospital,Severe,3,72
Pulmonology,Valley General Hospital,Critical,2,62
Pulmonology,Valley General Hospital,Mild,22,232
Pulmonology,Valley General Hospital,Moderate,24,422
Pulmonology,Valley General Hospital,Severe,12,298
Urology,Bagmati Community Hospital,Critical,0,27
Urology,Bagmati Community Hospital,Mild,5,82
Urology,Bagmati Community Hospital,Moderate,8,138
Urology,Bagmati Community Hospital,Severe,12,136
Urology,Bhaktapur District Hospital,Critical,0,21
Urology,Bhaktapur District Hospital,Mild,6,61
Urology,Bhaktapur District Hospital,Moderate,3,90
Urology,Bhaktapur District Hospital,Severe,7,84
Urology,Himal Teaching Hospital,Critical,0,59
Urology,Himal Teaching Hospital,Mild,7,179
Urology,Himal Teaching Hospital,Moderate,18,314
Urology,Himal Teaching Hospital,Severe,10,248
Urology,Trishuli Referral Hospital,Critical,1,13
Urology,Trishuli Referral Hospital,Mild,5,49
Urology,Trishuli Referral Hospital,Moderate,6,81
Urology,Trishuli Referral Hospital,Severe,7,59
Urology,Valley General Hospital,Critical,3,60
Urology,Valley General Hospital,Mild,3,154
Urology,Valley General Hospital,Moderate,21,265
Urology,Valley General Hospital,Severe,14,238
