department_name,hospital_name,overtime_rate,avg_patients_handled,total_shifts,vs_WHO,vs_NHS,vs_MoHP,alert_status
General Medicine,Bagmati Community Hospital,0.5058,14.66,1127,0.3058,0.3558,0.2558,RED
General Medicine,Bhaktapur District Hospital,0.5081,14.63,1537,0.3081,0.3581,0.2581,RED
General Medicine,Himal Teaching Hospital,0.4961,14.64,1401,0.2961,0.3461,0.2461,RED
General Medicine,Trishuli Referral Hospital,0.4884,14.5,1548,0.2884,0.3384,0.2384,RED
General Medicine,Valley General Hospital,0.4797,14.35,1451,0.2797,0.3297,0.2297,RED
General Surgery,Bagmati Community Hospital,0.4914,14.73,987,0.2914,0.3414,0.2414,RED
General Surgery,Bhaktapur District Hospital,0.505,14.45,1390,0.305,0.355,0.255,RED
General Surgery,Himal Teaching Hospital,0.5097,14.58,1338,0.3097,0.3597,0.2597,RED
General Surgery,Trishuli Referral Hospital,0.5116,14.89,1163,0.3116,0.3616,0.2616,RED
General Surgery,Valley General Hospital,0.5116,14.55,1034,0.3116,0.3616,0.2616,RED
HDU,Bagmati Community Hospital,0.5103,14.59,437,0.3103,0.3603,0.2603,RED
HDU,Bhaktapur District Hospital,0.4689,14.29,305,0.2689,0.3189,0.2189,RED
HDU,Himal Teaching Hospital,0.49,14.42,351,0.29,0.34,0.24,RED
HDU,Trishuli Referral Hospital,0.5158,14.98,444,0.3158,0.3658,0.2658,RED
HDU,Valley General Hospital,0.518,14.46,278,0.318,0.368,0.268,RED
ICU,Bagmati Community Hospital,0.5081,14.08,370,0.3081,0.3581,0.2581,RED
ICU,Bhaktapur District Hospital,0.5214,14.94,443,0.3214,0.3714,0.2714,RED
ICU,Himal Teaching Hospital,0.487,14.62,460,0.287,0.337,0.237,RED
ICU,Trishuli Referral Hospital,0.4846,14.97,456,0.2846,0.3346,0.2346,RED
ICU,Valley General Hospital,0.472,14.57,714,0.272,0.322,0.222,RED
Maternity & Obstetrics,Bagmati Community Hospital,0.503,14.46,835,0.303,0.353,0.253,RED
Maternity & Obstetrics,Bhaktapur District Hospital,0.5218,14.68,1010,0.3218,0.3718,0.2718,RED
Maternity & Obstetrics,Himal Teaching Hospital,0.4947,14.45,1037,0.2947,0.3447,0.2447,RED
Maternity & Obstetrics,Trishuli Referral Hospital,0.478,14.17,910,0.278,0.328,0.228,RED
Maternity & Obstetrics,Valley General Hospital,0.4951,14.31,1129,0.2951,0.3451,0.2451,RED
Neonatal ICU,Bagmati Community Hospital,0.5133,15.03,150,0.3133,0.3633,0.2633,RED
Neonatal ICU,Bhaktapur District Hospital,0.4397,13.83,257,0.2397,0.2897,0.1897,RED
Neonatal ICU,Himal Teaching Hospital,0.5652,14.57,92,0.3652,0.4152,0.3152,RED
Neonatal ICU,Trishuli Referral Hospital,0.3972,13.88,141,0.1972,0.2472,0.1472,RED
Neonatal ICU,Valley General Hospital,0.4943,14.97,87,0.2943,0.3443,0.2443,RED
Nephrology,Bagmati Community Hospital,0.4811,14.38,212,0.2811,0.3311,0.2311,RED
Nephrology,Bhaktapur District Hospital,0.4915,14.55,411,0.2915,0.3415,0.2415,RED
Nephrology,Himal Teaching Hospital,0.4823,14.14,282,0.2823,0.3323,0.2323,RED
Nephrology,Trishuli Referral Hospital,0.5377,14.46,292,0.3377,0.3877,0.2877,RED
Nephrology,Valley General Hospital,0.5061,14.25,164,0.3061,0.3561,0.2561,RED
Neurology,Bagmati Community Hospital,0.566,15.39,265,0.366,0.416,0.316,RED
Neurology,Bhaktapur District Hospital,0.547,14.83,287,0.347,0.397,0.297,RED
Neurology,Himal Teaching Hospital,0.5404,14.64,235,0.3404,0.3904,0.2904,RED
Neurology,Trishuli Referral Hospital,0.4542,14.03,491,0.2542,0.3042,0.2042,RED
Neurology,Valley General Hospital,0.4815,14.58,351,0.2815,0.3315,0.2315,RED
Oncology,Bagmati Community Hospital,0.5547,15.18,128,0.3547,0.4047,0.3047,RED
Oncology,Bhaktapur District Hospital,0.5035,14.12,282,0.3035,0.3535,0.2535,RED
Oncology,Himal Teaching Hospital,0.6341,17.71,41,0.4341,0.4841,0.3841,RED
Oncology,Trishuli Referral Hospital,0.4682,14.34,220,0.2682,0.3182,0.2182,RED
Oncology,Valley General Hospital,0.4884,14.32,215,0.2884,0.3384,0.2384,RED
Ophthalmology,Bagmati Community Hospital,0.5135,15.3,37,0.3135,0.3635,0.2635,RED
Ophthalmology,Bhaktapur District Hospital,0.4691,14.14,324,0.2691,0.3191,0.2191,RED
Ophthalmology,Himal Teaching Hospital,0.4778,13.75,180,0.2778,0.3278,0.2278,RED
Ophthalmology,Trishuli Referral Hospital,0.4783,14.32,92,0.2783,0.3283,0.2283,RED
Ophthalmology,Valley General Hospital,0.5042,14.93,119,0.3042,0.3542,0.2542,RED
Orthopedics,Bagmati Community Hospital,0.4977,14.38,645,0.2977,0.3477,0.2477,RED
Orthopedics,Bhaktapur District Hospital,0.4885,14.32,829,0.2885,0.3385,0.2385,RED
Orthopedics,Himal Teaching Hospital,0.4514,14.16,545,0.2514,0.3014,0.2014,RED
Orthopedics,Trishuli Referral Hospital,0.466,13.96,633,0.266,0.316,0.216,RED
Orthopedics,Valley General Hospital,0.4988,14.4,808,0.2988,0.3488,0.2488,RED
Pediatrics,Bagmati Community Hospital,0.4862,14.62,800,0.2862,0.3362,0.2362,RED
Pediatrics,Bhaktapur District Hospital,0.5087,14.56,1144,0.3087,0.3587,0.2587,RED
Pediatrics,Himal Teaching Hospital,0.5043,14.49,805,0.3043,0.3543,0.2543,RED
Pediatrics,Trishuli Referral Hospital,0.4849,14.67,1027,0.2849,0.3349,0.2349,RED
Pediatrics,Valley General Hospital,0.5083,14.24,543,0.3083,0.3583,0.2583,RED
Psychiatry,Bagmati Community Hospital,0.3585,13.02,53,0.1585,0.2085,0.1085,RED
Psychiatry,Bhaktapur District Hospital,0.5,14.83,174,0.3,0.35,0.25,RED
Psychiatry,Himal Teaching Hospital,0.5,14.69,120,0.3,0.35,0.25,RED
Pulmonology,Bagmati Community Hospital,0.4884,14.18,258,0.2884,0.3384,0.2384,RED
Pulmonology,Bhaktapur District Hospital,0.4753,14.17,465,0.2753,0.3253,0.2253,RED
Pulmonology,Himal Teaching Hospital,0.4837,15.15,246,0.2837,0.3337,0.2337,RED
Pulmonology,Trishuli Referral Hospital,0.4928,14.59,138,0.2928,0.3428,0.2428,RED
Pulmonology,Valley General Hospital,0.5138,14.89,325,0.3138,0.3638,0.2638,RED
Urology,Bagmati Community Hospital,0.5169,14.63,178,0.3169,0.3669,0.2669,RED
Urology,Bhaktapur District Hospital,0.4485,13.8,194,0.2485,0.2985,0.1985,RED
Urology,Himal Teaching Hospital,0.5075,14.06,201,0.3075,0.3575,0.2575,RED
Urology,Trishuli Referral Hospital,0.4,15.2,50,0.2,0.25,0.15,RED
Urology,Valley General Hospital,0.4811,14.43,212,0.2811,0.3311,0.2311,RED
