bed_id,ward_name,bed_type,department_id,hospital_id,is_functional
BED00050,General Surger Ward 1,General,DEP0005,HOSP01,True
BED00051,General Surger Ward 1,General,DEP0005,HOSP01,True
BED00052,General Surger Ward 1,Private,DEP0005,HOSP01,True
BED00053,General Surger Ward 2,Semi-Private,DEP0005,HOSP01,True
BED00054,General Surger Ward 2,General,DEP0005,HOSP01,True
BED00055,General Surger Ward 2,General,DEP0005,HOSP01,True
BED00056,Orthopedics Ward 1,General,DEP0006,HOSP01,True
BED00057,Orthopedics Ward 1,Semi-Private,DEP0006,HOSP01,True
BED00058,Orthopedics Ward 1,General,DEP0006,HOSP01,True
BED00059,Orthopedics Ward 1,Semi-Private,DEP0006,HOSP01,True
BED00060,Orthopedics Ward 1,General,DEP0006,HOSP01,True
BED00061,Orthopedics Ward 1,Semi-Private,DEP0006,HOSP01,True
BED00062,Orthopedics Ward 1,Private,DEP0006,HOSP01,True
BED00063,Orthopedics Ward 1,General,DEP0006,HOSP01,True
BED00064,Orthopedics Ward 2,Semi-Private,DEP0006,HOSP01,True
BED00065,Orthopedics Ward 2,General,DEP0006,HOSP01,True
BED00066,Orthopedics Ward 2,General,DEP0006,HOSP01,True
BED00067,Orthopedics Ward 2,Private,DEP0006,HOSP01,True
BED00068,Orthopedics Ward 2,General,DEP0006,HOSP01,True
BED00069,Orthopedics Ward 2,Private,DEP0006,HOSP01,True
BED00070,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00071,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00072,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00073,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00074,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00075,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00076,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00077,Maternity & Ob Ward 1,Maternity,DEP0007,HOSP01,True
BED00078,Maternity & Ob Ward 2,Maternity,DEP0007,HOSP01,True
BED00079,Maternity & Ob Ward 2,Maternity,DEP0007,HOSP01,True
BED00080,Maternity & Ob Ward 2,Maternity,DEP0007,HOSP01,True
BED00081,Maternity & Ob Ward 2,Maternity,DEP0007,HOSP01,True
BED00082,Pediatrics Ward 1,General,DEP0008,HOSP01,True
BED00083,Pediatrics Ward 1,Semi-Private,DEP0008,HOSP01,True
BED00084,Pediatrics Ward 1,Semi-Private,DEP0008,HOSP01,True
BED00085,Pediatrics Ward 1,General,DEP0008,HOSP01,True
BED00086,Pediatrics Ward 1,General,DEP0008,HOSP01,True
BED00087,Pediatrics Ward 1,Private,DEP0008,HOSP01,True
BED00088,Pediatrics Ward 1,General,DEP0008,HOSP01,True
BED00089,Pediatrics Ward 1,Semi-Private,DEP0008,HOSP01,True
BED00090,Pediatrics Ward 2,General,DEP0008,HOSP01,True
BED00091,Pediatrics Ward 2,General,DEP0008,HOSP01,True
BED00092,Pediatrics Ward 2,Private,DEP0008,HOSP01,True
BED00093,Pediatrics Ward 2,General,DEP0008,HOSP01,True
BED00094,Pediatrics Ward 2,Private,DEP0008,HOSP01,True
BED00095,Pediatrics Ward 2,Semi-Private,DEP0008,HOSP01,True
BED00096,Pediatrics Ward 2,General,DEP0008,HOSP01,True
BED00097,Pediatrics Ward 2,General,DEP0008,HOSP01,True
BED00098,Cardiology Ward 1,Semi-Private,DEP0009,HOSP01,True
BED00099,Cardiology Ward 1,General,DEP0009,HOSP01,True
BED00100,Cardiology Ward 1,General,DEP0009,HOSP01,True
BED00101,Cardiology Ward 1,Private,DEP0009,HOSP01,True
BED00102,Cardiology Ward 1,General,DEP0009,HOSP01,True
BED00103,Cardiology Ward 1,General,DEP0009,HOSP01,True
BED00104,Cardiology Ward 1,General,DEP0009,HOSP01,True
BED00105,Cardiology Ward 1,Semi-Private,DEP0009,HOSP01,True
BED00106,Cardiology Ward 2,General,DEP0009,HOSP01,True
BED00107,Cardiology Ward 2,General,DEP0009,HOSP01,True
BED00108,Cardiology Ward 2,General,DEP0009,HOSP01,True
BED00109,Cardiology Ward 2,General,DEP0009,HOSP01,True
BED00110,Cardiology Ward 2,General,DEP0009,HOSP01,True
BED00111,Neurology Ward 1,General,DEP0010,HOSP01,True
BED00112,Neurology Ward 1,General,DEP0010,HOSP01,True
BED00113,Neurology Ward 1,General,DEP0010,HOSP01,True
BED00114,Neurology Ward 1,General,DEP0010,HOSP01,True
BED00115,Neurology Ward 1,General,DEP0010,HOSP01,True
BED00116,Neurology Ward 1,General,DEP0010,HOSP01,True
BED00117,Neurology Ward 1,General,DEP0010,HOSP01,True
BED00118,Neurology Ward 1,Semi-Private,DEP0010,HOSP01,True
BED00119,Neurology Ward 2,General,DEP0010,HOSP01,True
BED00120,Neurology Ward 2,Semi-Private,DEP0010,HOSP01,True
BED00121,Neurology Ward 2,General,DEP0010,HOSP01,True
BED00122,Neurology Ward 2,Semi-Private,DEP0010,HOSP01,True
BED00123,Neurology Ward 2,General,DEP0010,HOSP01,True
BED00124,Neurology Ward 2,General,DEP0010,HOSP01,True
BED00125,Neurology Ward 2,General,DEP0010,HOSP01,True
BED00126,Neurology Ward 2,Semi-Private,DEP0010,HOSP01,True
BED00127,Neurology Ward 3,General,DEP0010,HOSP01,True
BED00128,Neurology Ward 3,General,DEP0010,HOSP01,True
BED00129,Nephrology Ward 1,General,DEP0011,HOSP01,True
BED00130,Nephrology Ward 1,Private,DEP0011,HOSP01,True
BED00131,Nephrology Ward 1,Private,DEP0011,HOSP01,True
BED00132,Nephrology Ward 1,General,DEP0011,HOSP01,True
BED00133,Nephrology Ward 1,Semi-Private,DEP0011,HOSP01,True
BED00134,Nephrology Ward 1,Semi-Private,DEP0011,HOSP01,True
BED00135,Nephrology Ward 1,General,DEP0011,HOSP01,True
BED00136,Nephrology Ward 1,General,DEP0011,HOSP01,True
BED00137,Nephrology Ward 2,General,DEP0011,HOSP01,True
BED00138,Nephrology Ward 2,Private,DEP0011,HOSP01,True
BED00139,Nephrology Ward 2,Semi-Private,DEP0011,HOSP01,True
BED00140,Nephrology Ward 2,Private,DEP0011,HOSP01,True
BED00141,Nephrology Ward 2,General,DEP0011,HOSP01,True
BED00142,Nephrology Ward 2,Semi-Private,DEP0011,HOSP01,True
BED00143,Nephrology Ward 2,General,DEP0011,HOSP01,False
BED00144,Oncology Ward 1,Semi-Private,DEP0012,HOSP01,True
BED00145,Oncology Ward 1,General,DEP0012,HOSP01,True
BED00146,Oncology Ward 1,General,DEP0012,HOSP01,True
BED00147,Oncology Ward 1,General,DEP0012,HOSP01,True
BED00148,Oncology Ward 1,General,DEP0012,HOSP01,True
BED00149,Oncology Ward 1,General,DEP0012,HOSP01,True
BED00150,Oncology Ward 1,Semi-Private,DEP0012,HOSP01,True
BED00151,Oncology Ward 1,Private,DEP0012,HOSP01,True
BED00152,Oncology Ward 2,General,DEP0012,HOSP01,True
BED00153,Oncology Ward 2,Semi-Private,DEP0012,HOSP01,True
BED00154,Oncology Ward 2,General,DEP0012,HOSP01,True
BED00155,Oncology Ward 2,General,DEP0012,HOSP01,True
BED00156,Oncology Ward 2,General,DEP0012,HOSP01,True
BED00157,Oncology Ward 2,Semi-Private,DEP0012,HOSP01,True
BED00158,Pulmonology Ward 1,General,DEP0013,HOSP01,True
BED00159,Pulmonology Ward 1,General,DEP0013,HOSP01,True
BED00160,Pulmonology Ward 1,General,DEP0013,HOSP01,True
BED00161,Pulmonology Ward 1,Private,DEP0013,HOSP01,True
BED00162,Pulmonology Ward 1,General,DEP0013,HOSP01,True
BED00163,Pulmonology Ward 1,Semi-Private,DEP0013,HOSP01,True
BED00164,Pulmonology Ward 1,Semi-Private,DEP0013,HOSP01,True
BED00165,Pulmonology Ward 1,General,DEP0013,HOSP01,True
BED00166,Pulmonology Ward 2,Private,DEP0013,HOSP01,True
BED00167,Pulmonology Ward 2,Semi-Private,DEP0013,HOSP01,True
BED00168,Pulmonology Ward 2,General,DEP0013,HOSP01,True
BED00169,Pulmonology Ward 2,Private,DEP0013,HOSP01,True
BED00170,Pulmonology Ward 2,General,DEP0013,HOSP01,True
BED00171,Gastroenterolo Ward 1,General,DEP0014,HOSP01,True
BED00172,Gastroenterolo Ward 1,Semi-Private,DEP0014,HOSP01,True
BED00173,Gastroenterolo Ward 1,Private,DEP0014,HOSP01,True
BED00174,Gastroenterolo Ward 1,Private,DEP0014,HOSP01,True
BED00175,Gastroenterolo Ward 1,General,DEP0014,HOSP01,True
BED00176,Gastroenterolo Ward 1,Private,DEP0014,HOSP01,True
BED00177,Gastroenterolo Ward 1,Semi-Private,DEP0014,HOSP01,True
BED00178,Gastroenterolo Ward 1,General,DEP0014,HOSP01,True
BED00179,Gastroenterolo Ward 2,Semi-Private,DEP0014,HOSP01,True
BED00180,Gastroenterolo Ward 2,Private,DEP0014,HOSP01,True
BED00181,Gastroenterolo Ward 2,General,DEP0014,HOSP01,True
BED00182,Urology Ward 1,General,DEP0015,HOSP01,True
BED00183,Urology Ward 1,General,DEP0015,HOSP01,True
BED00184,Urology Ward 1,Private,DEP0015,HOSP01,True
BED00185,Urology Ward 1,Semi-Private,DEP0015,HOSP01,True
BED00186,Urology Ward 1,General,DEP0015,HOSP01,True
BED00187,Urology Ward 1,General,DEP0015,HOSP01,True
BED00188,Urology Ward 1,General,DEP0015,HOSP01,True
BED00189,Urology Ward 1,Private,DEP0015,HOSP01,True
BED00190,Urology Ward 2,Private,DEP0015,HOSP01,True
BED00191,Urology Ward 2,General,DEP0015,HOSP01,True
BED00192,Urology Ward 2,General,DEP0015,HOSP01,True
BED00193,Urology Ward 2,Private,DEP0015,HOSP01,True
BED00194,Urology Ward 2,General,DEP0015,HOSP01,True
BED00195,Urology Ward 2,General,DEP0015,HOSP01,True
BED00196,Urology Ward 2,General,DEP0015,HOSP01,True
BED00197,ENT Ward 1,General,DEP0016,HOSP01,True
BED00198,ENT Ward 1,Private,DEP0016,HOSP01,True
BED00199,ENT Ward 1,General,DEP0016,HOSP01,True
BED00200,ENT Ward 1,General,DEP0016,HOSP01,True
BED00201,ENT Ward 1,General,DEP0016,HOSP01,True
BED00202,ENT Ward 1,General,DEP0016,HOSP01,True
BED00203,ENT Ward 1,General,DEP0016,HOSP01,True
BED00204,ENT Ward 1,General,DEP0016,HOSP01,True
BED00205,ENT Ward 2,General,DEP0016,HOSP01,True
BED00206,ENT Ward 2,Semi-Private,DEP0016,HOSP01,True
BED00207,ENT Ward 2,Semi-Private,DEP0016,HOSP01,True
BED00208,ENT Ward 2,General,DEP0016,HOSP01,True
BED00209,ENT Ward 2,Private,DEP0016,HOSP01,True
BED00210,ENT Ward 2,Semi-Private,DEP0016,HOSP01,True
BED00211,ENT Ward 2,General,DEP0016,HOSP01,True
BED00212,ENT Ward 2,General,DEP0016,HOSP01,True
BED00213,ENT Ward 3,Semi-Private,DEP0016,HOSP01,True
BED00214,ENT Ward 3,Semi-Private,DEP0016,HOSP01,True
BED00215,Ophthalmology Ward 1,Semi-Private,DEP0017,HOSP01,True
BED00216,Ophthalmology Ward 1,General,DEP0017,HOSP01,True
BED00217,Ophthalmology Ward 1,General,DEP0017,HOSP01,True
BED00218,Ophthalmology Ward 1,General,DEP0017,HOSP01,True
BED00219,Ophthalmology Ward 1,General,DEP0017,HOSP01,False
BED00220,Ophthalmology Ward 1,Semi-Private,DEP0017,HOSP01,True
BED00221,Ophthalmology Ward 1,Private,DEP0017,HOSP01,True
BED00222,Ophthalmology Ward 1,General,DEP0017,HOSP01,True
BED00223,Ophthalmology Ward 2,General,DEP0017,HOSP01,True
BED00224,Ophthalmology Ward 2,General,DEP0017,HOSP01,True
BED00225,Ophthalmology Ward 2,General,DEP0017,HOSP01,True
BED00226,Dermatology Ward 1,General,DEP0018,HOSP01,True
BED00227,Dermatology Ward 1,Private,DEP0018,HOSP01,True
BED00228,Psychiatry Ward 1,Semi-Private,DEP0019,HOSP01,True
BED00229,Psychiatry Ward 1,Semi-Private,DEP0019,HOSP01,True
BED00230,Psychiatry Ward 1,General,DEP0019,HOSP01,True
BED00231,Psychiatry Ward 1,General,DEP0019,HOSP01,True
BED00232,Psychiatry Ward 1,Semi-Private,DEP0019,HOSP01,False
BED00233,Psychiatry Ward 1,General,DEP0019,HOSP01,True
BED00234,Psychiatry Ward 1,General,DEP0019,HOSP01,True
BED00235,Psychiatry Ward 1,Private,DEP0019,HOSP01,True
BED00236,Psychiatry Ward 2,Semi-Private,DEP0019,HOSP01,True
BED00237,Psychiatry Ward 2,General,DEP0019,HOSP01,True
BED00238,Psychiatry Ward 2,General,DEP0019,HOSP01,True
BED00239,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00240,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00241,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00242,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00243,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00244,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00245,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00246,Burn Unit Ward 1,ICU,DEP0020,HOSP01,True
BED00247,Burn Unit Ward 2,ICU,DEP0020,HOSP01,True
BED00248,Burn Unit Ward 2,ICU,DEP0020,HOSP01,True
BED00249,Burn Unit Ward 2,ICU,DEP0020,HOSP01,False
BED00250,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,False
BED00251,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,True
BED00252,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,True
BED00253,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,True
BED00254,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,True
BED00255,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,True
BED00256,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,True
BED00257,Neonatal ICU Ward 1,NICU,DEP0021,HOSP01,True
BED00258,Neonatal ICU Ward 2,NICU,DEP0021,HOSP01,True
BED00259,Neonatal ICU Ward 2,NICU,DEP0021,HOSP01,True
BED00260,Dialysis Unit Ward 1,Dialysis,DEP0022,HOSP01,True
BED00261,Dialysis Unit Ward 1,Dialysis,DEP0022,HOSP01,True
BED00262,Dialysis Unit Ward 1,Dialysis,DEP0022,HOSP01,True
BED00263,Emergency Ward 1,Emergency,DEP0023,HOSP02,True
BED00264,Emergency Ward 1,Emergency,DEP0023,HOSP02,True
BED00265,Emergency Ward 1,Emergency,DEP0023,HOSP02,True
BED00266,Emergency Ward 1,Emergency,DEP0023,HOSP02,True
BED00267,Emergency Ward 1,Emergency,DEP0023,HOSP02,True
BED00268,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00269,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00270,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00271,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00272,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00273,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00274,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00275,ICU Ward 1,ICU,DEP0024,HOSP02,True
BED00276,ICU Ward 2,ICU,DEP0024,HOSP02,True
BED00277,ICU Ward 2,ICU,DEP0024,HOSP02,True
BED00278,ICU Ward 2,ICU,DEP0024,HOSP02,True
BED00279,ICU Ward 2,ICU,DEP0024,HOSP02,True
BED00280,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00281,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00282,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00283,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00284,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00285,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00286,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00287,HDU Ward 1,HDU,DEP0025,HOSP02,True
BED00288,HDU Ward 2,HDU,DEP0025,HOSP02,True
BED00289,HDU Ward 2,HDU,DEP0025,HOSP02,True
BED00290,HDU Ward 2,HDU,DEP0025,HOSP02,True
BED00291,General Medici Ward 1,Private,DEP0026,HOSP02,True
BED00292,General Medici Ward 1,Semi-Private,DEP0026,HOSP02,True
BED00293,General Medici Ward 1,General,DEP0026,HOSP02,True
BED00294,General Medici Ward 1,Private,DEP0026,HOSP02,True
BED00295,General Medici Ward 1,Private,DEP0026,HOSP02,True
BED00296,General Medici Ward 1,Semi-Private,DEP0026,HOSP02,True
BED00297,General Medici Ward 1,General,DEP0026,HOSP02,True
BED00298,General Medici Ward 1,Private,DEP0026,HOSP02,True
BED00299,General Medici Ward 2,General,DEP0026,HOSP02,True
BED00300,General Medici Ward 2,General,DEP0026,HOSP02,True
BED00301,General Medici Ward 2,General,DEP0026,HOSP02,True
BED00302,General Medici Ward 2,General,DEP0026,HOSP02,True
BED00303,General Surger Ward 1,General,DEP0027,HOSP02,True
BED00304,General Surger Ward 1,Semi-Private,DEP0027,HOSP02,True
BED00305,General Surger Ward 1,General,DEP0027,HOSP02,True
BED00306,General Surger Ward 1,Semi-Private,DEP0027,HOSP02,True
BED00307,General Surger Ward 1,General,DEP0027,HOSP02,True
BED00308,General Surger Ward 1,General,DEP0027,HOSP02,True
BED00309,General Surger Ward 1,General,DEP0027,HOSP02,True
BED00310,General Surger Ward 1,General,DEP0027,HOSP02,True
BED00311,General Surger Ward 2,Semi-Private,DEP0027,HOSP02,True
BED00312,General Surger Ward 2,Private,DEP0027,HOSP02,True
BED00313,General Surger Ward 2,General,DEP0027,HOSP02,True
BED00314,General Surger Ward 2,General,DEP0027,HOSP02,True
BED00315,Orthopedics Ward 1,General,DEP0028,HOSP02,True
BED00316,Orthopedics Ward 1,Private,DEP0028,HOSP02,True
BED00317,Orthopedics Ward 1,Semi-Private,DEP0028,HOSP02,True
BED00318,Orthopedics Ward 1,General,DEP0028,HOSP02,False
BED00319,Orthopedics Ward 1,General,DEP0028,HOSP02,True
BED00320,Orthopedics Ward 1,General,DEP0028,HOSP02,True
BED00321,Orthopedics Ward 1,General,DEP0028,HOSP02,True
BED00322,Orthopedics Ward 1,Private,DEP0028,HOSP02,True
BED00323,Orthopedics Ward 2,General,DEP0028,HOSP02,True
BED00324,Orthopedics Ward 2,Semi-Private,DEP0028,HOSP02,True
BED00325,Orthopedics Ward 2,General,DEP0028,HOSP02,True
BED00326,Orthopedics Ward 2,General,DEP0028,HOSP02,True
BED00327,Orthopedics Ward 2,General,DEP0028,HOSP02,True
BED00328,Orthopedics Ward 2,Semi-Private,DEP0028,HOSP02,True
BED00329,Orthopedics Ward 2,Semi-Private,DEP0028,HOSP02,False
BED00330,Orthopedics Ward 2,Semi-Private,DEP0028,HOSP02,False
BED00331,Orthopedics Ward 3,General,DEP0028,HOSP02,True
BED00332,Orthopedics Ward 3,General,DEP0028,HOSP02,True
BED00333,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00334,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00335,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00336,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00337,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00338,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00339,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00340,Maternity & Ob Ward 1,Maternity,DEP0029,HOSP02,True
BED00341,Maternity & Ob Ward 2,Maternity,DEP0029,HOSP02,True
BED00342,Maternity & Ob Ward 2,Maternity,DEP0029,HOSP02,True
BED00343,Maternity & Ob Ward 2,Maternity,DEP0029,HOSP02,True
BED00344,Maternity & Ob Ward 2,Maternity,DEP0029,HOSP02,True
BED00345,Maternity & Ob Ward 2,Maternity,DEP0029,HOSP02,True
BED00346,Maternity & Ob Ward 2,Maternity,DEP0029,HOSP02,True
BED00347,Maternity & Ob Ward 2,Maternity,DEP0029,HOSP02,True
BED00348,Pediatrics Ward 1,Semi-Private,DEP0030,HOSP02,True
BED00349,Pediatrics Ward 1,General,DEP0030,HOSP02,True
BED00350,Pediatrics Ward 1,General,DEP0030,HOSP02,True
BED00351,Pediatrics Ward 1,General,DEP0030,HOSP02,True
BED00352,Pediatrics Ward 1,Private,DEP0030,HOSP02,True
BED00353,Pediatrics Ward 1,General,DEP0030,HOSP02,True
BED00354,Pediatrics Ward 1,General,DEP0030,HOSP02,True
BED00355,Pediatrics Ward 1,Semi-Private,DEP0030,HOSP02,True
BED00356,Pediatrics Ward 2,Private,DEP0030,HOSP02,True
BED00357,Pediatrics Ward 2,General,DEP0030,HOSP02,True
BED00358,Pediatrics Ward 2,General,DEP0030,HOSP02,True
BED00359,Pediatrics Ward 2,General,DEP0030,HOSP02,True
BED00360,Cardiology Ward 1,Semi-Private,DEP0031,HOSP02,True
BED00361,Cardiology Ward 1,General,DEP0031,HOSP02,True
BED00362,Cardiology Ward 1,Private,DEP0031,HOSP02,True
BED00363,Cardiology Ward 1,Semi-Private,DEP0031,HOSP02,True
BED00364,Cardiology Ward 1,General,DEP0031,HOSP02,True
BED00365,Cardiology Ward 1,General,DEP0031,HOSP02,True
BED00366,Cardiology Ward 1,General,DEP0031,HOSP02,True
BED00367,Cardiology Ward 1,General,DEP0031,HOSP02,True
BED00368,Cardiology Ward 2,Semi-Private,DEP0031,HOSP02,True
BED00369,Cardiology Ward 2,General,DEP0031,HOSP02,True
BED00370,Cardiology Ward 2,General,DEP0031,HOSP02,True
BED00371,Cardiology Ward 2,General,DEP0031,HOSP02,True
BED00372,Cardiology Ward 2,Semi-Private,DEP0031,HOSP02,True
BED00373,Cardiology Ward 2,Private,DEP0031,HOSP02,False
BED00374,Neurology Ward 1,Private,DEP0032,HOSP02,True
BED00375,Neurology Ward 1,General,DEP0032,HOSP02,True
BED00376,Neurology Ward 1,Semi-Private,DEP0032,HOSP02,True
BED00377,Neurology Ward 1,Semi-Private,DEP0032,HOSP02,True
BED00378,Neurology Ward 1,Semi-Private,DEP0032,HOSP02,True
BED00379,Neurology Ward 1,General,DEP0032,HOSP02,True
BED00380,Neurology Ward 1,General,DEP0032,HOSP02,True
BED00381,Neurology Ward 1,General,DEP0032,HOSP02,True
BED00382,Neurology Ward 2,General,DEP0032,HOSP02,True
BED00383,Neurology Ward 2,General,DEP0032,HOSP02,True
BED00384,Neurology Ward 2,Private,DEP0032,HOSP02,True
BED00385,Neurology Ward 2,General,DEP0032,HOSP02,True
BED00386,Nephrology Ward 1,General,DEP0033,HOSP02,True
BED00387,Nephrology Ward 1,Semi-Private,DEP0033,HOSP02,True
BED00388,Nephrology Ward 1,Private,DEP0033,HOSP02,True
BED00389,Nephrology Ward 1,General,DEP0033,HOSP02,True
BED00390,Nephrology Ward 1,Private,DEP0033,HOSP02,True
BED00391,Nephrology Ward 1,Private,DEP0033,HOSP02,True
BED00392,Nephrology Ward 1,General,DEP0033,HOSP02,True
BED00393,Nephrology Ward 1,General,DEP0033,HOSP02,True
BED00394,Nephrology Ward 2,General,DEP0033,HOSP02,True
BED00395,Nephrology Ward 2,General,DEP0033,HOSP02,True
BED00396,Nephrology Ward 2,Semi-Private,DEP0033,HOSP02,True
BED00397,Nephrology Ward 2,General,DEP0033,HOSP02,True
BED00398,Nephrology Ward 2,General,DEP0033,HOSP02,True
BED00399,Oncology Ward 1,General,DEP0034,HOSP02,True
BED00400,Oncology Ward 1,Private,DEP0034,HOSP02,True
BED00401,Oncology Ward 1,General,DEP0034,HOSP02,True
BED00402,Oncology Ward 1,General,DEP0034,HOSP02,True
BED00403,Oncology Ward 1,Semi-Private,DEP0034,HOSP02,True
BED00404,Oncology Ward 1,Semi-Private,DEP0034,HOSP02,True
BED00405,Oncology Ward 1,General,DEP0034,HOSP02,False
BED00406,Oncology Ward 1,General,DEP0034,HOSP02,True
BED00407,Oncology Ward 2,Private,DEP0034,HOSP02,True
BED00408,Oncology Ward 2,General,DEP0034,HOSP02,True
BED00409,Oncology Ward 2,Private,DEP0034,HOSP02,True
BED00410,Oncology Ward 2,General,DEP0034,HOSP02,True
BED00411,Oncology Ward 2,General,DEP0034,HOSP02,True
BED00412,Oncology Ward 2,Semi-Private,DEP0034,HOSP02,True
BED00413,Oncology Ward 2,Semi-Private,DEP0034,HOSP02,True
BED00414,Pulmonology Ward 1,General,DEP0035,HOSP02,True
