shift_id,staff_id,department_id,shift_date,shift_type,patients_handled,is_overtime
SHF0000033,STF00813,DEP0071,2022-03-06,Night,17,True
SHF0000034,STF00313,DEP0051,2022-07-20,Morning,11,False
SHF0000035,STF00305,DEP0093,2024-09-22,Night,13,True
SHF0000036,STF00716,DEP0002,2023-04-13,Morning,9,False
SHF0000037,STF01098,DEP0030,2024-03-17,Night,13,True
SHF0000038,STF00199,DEP0094,2024-02-10,Night,27,True
SHF0000039,STF00927,DEP0092,2023-01-29,Morning,10,False
SHF0000040,STF01115,DEP0031,2024-07-07,Evening,13,False
SHF0000041,STF00309,DEP0089,2022-04-24,Morning,9,False
SHF0000042,STF01011,DEP0049,2021-07-28,Evening,9,False
SHF0000043,STF01068,DEP0026,2023-03-29,Night,21,True
SHF0000044,STF00062,DEP0005,2022-02-14,Morning,9,False
SHF0000045,STF00938,DEP0026,2023-08-15,Morning,32,True
SHF0000046,STF01089,DEP0088,2022-07-27,Evening,26,True
SHF0000047,STF00783,DEP0048,2023-11-25,Night,8,False
SHF0000048,STF00102,DEP0073,2021-10-12,Night,10,True
SHF0000049,STF00787,DEP0092,2022-06-18,Morning,13,False
SHF0000050,STF00554,DEP0045,2023-05-10,Evening,16,True
SHF0000051,STF01077,DEP0006,2023-01-03,Morning,18,True
SHF0000052,STF01158,DEP0013,2022-05-03,Morning,23,True
SHF0000053,STF00988,DEP0046,2023-01-12,Morning,12,False
SHF0000054,STF00359,DEP0033,2021-10-20,Morning,11,False
SHF0000055,STF00292,DEP0089,2024-02-04,Night,8,False
SHF0000056,STF00850,DEP0067,2023-11-02,Morning,22,True
SHF0000057,STF00017,DEP0087,2022-02-12,Night,5,False
SHF0000058,STF00605,DEP0079,2021-03-28,Evening,17,True
SHF0000059,STF00287,DEP0028,2023-06-06,Night,7,False
SHF0000060,STF00468,DEP0045,2022-10-26,Morning,14,False
SHF0000061,STF00028,DEP0023,2024-02-19,Night,7,False
SHF0000062,STF00529,DEP0001,2024-09-25,Night,10,True
SHF0000063,STF00215,DEP0069,2022-01-16,Night,12,True
SHF0000064,STF00254,DEP0005,2022-06-07,Evening,19,True
SHF0000065,STF00335,DEP0049,2024-08-25,Night,9,False
SHF0000066,STF00944,DEP0026,2021-08-06,Morning,15,True
SHF0000067,STF00678,DEP0039,2021-07-08,Morning,16,True
SHF0000068,STF01161,DEP0074,2023-04-06,Night,9,False
SHF0000069,STF00270,DEP0013,2021-06-12,Morning,30,True
SHF0000070,STF00151,DEP0089,2024-04-08,Night,18,True
SHF0000071,STF00170,DEP0050,2022-06-15,Night,22,True
SHF0000072,STF00546,DEP0001,2023-12-18,Evening,14,False
SHF0000073,STF00783,DEP0048,2021-11-06,Night,13,True
SHF0000074,STF01068,DEP0026,2023-06-02,Evening,27,True
SHF0000075,STF00361,DEP0094,2024-03-26,Morning,13,False
SHF0000076,STF00257,DEP0046,2024-07-07,Night,9,False
SHF0000077,STF00758,DEP0005,2021-10-29,Night,6,False
SHF0000078,STF01112,DEP0065,2022-08-10,Evening,17,True
SHF0000079,STF00688,DEP0052,2021-07-24,Morning,18,True
SHF0000080,STF00664,DEP0004,2021-04-10,Morning,7,False
SHF0000081,STF00435,DEP0029,2022-04-06,Night,5,False
SHF0000082,STF00191,DEP0104,2022-08-11,Night,6,False
SHF0000083,STF01165,DEP0096,2021-07-09,Morning,9,False
SHF0000084,STF00766,DEP0045,2024-07-28,Evening,20,True
SHF0000085,STF00277,DEP0078,2023-07-29,Morning,14,False
SHF0000086,STF00854,DEP0050,2021-10-24,Morning,18,True
SHF0000087,STF00831,DEP0027,2024-02-16,Morning,11,False
SHF0000088,STF01121,DEP0031,2023-05-28,Morning,20,True
SHF0000089,STF00832,DEP0026,2023-09-20,Night,9,False
SHF0000090,STF00620,DEP0080,2021-12-20,Evening,13,False
SHF0000091,STF00637,DEP0086,2021-07-18,Night,15,True
SHF0000092,STF00064,DEP0007,2022-03-26,Night,6,False
SHF0000093,STF00036,DEP0028,2024-09-29,Evening,25,True
SHF0000094,STF01087,DEP0010,2022-08-07,Evening,15,True
SHF0000095,STF00120,DEP0095,2024-12-16,Morning,17,True
SHF0000096,STF00418,DEP0092,2021-01-25,Evening,25,True
SHF0000097,STF00846,DEP0023,2023-12-17,Night,9,False
SHF0000098,STF00432,DEP0072,2024-08-17,Evening,29,True
SHF0000099,STF00578,DEP0077,2022-03-21,Night,6,False
SHF0000100,STF00759,DEP0095,2024-09-07,Night,23,True
SHF0000101,STF00106,DEP0080,2024-11-12,Evening,24,True
SHF0000102,STF00067,DEP0074,2022-07-21,Night,10,True
SHF0000103,STF00629,DEP0067,2022-09-28,Morning,15,True
SHF0000104,STF00814,DEP0074,2023-01-27,Night,28,True
SHF0000105,STF00766,DEP0045,2023-08-21,Evening,14,False
SHF0000106,STF00145,DEP0079,2022-10-09,Morning,17,True
SHF0000107,STF00387,DEP0070,2023-10-06,Evening,15,True
SHF0000108,STF00943,DEP0031,2023-03-15,Evening,8,False
SHF0000109,STF00229,DEP0099,2023-08-06,Morning,26,True
SHF0000110,STF00383,DEP0096,2024-09-11,Night,11,True
SHF0000111,STF01192,DEP0009,2022-08-27,Night,9,False
SHF0000112,STF01046,DEP0093,2023-04-14,Morning,11,False
SHF0000113,STF00480,DEP0005,2024-07-19,Morning,11,False
SHF0000114,STF00716,DEP0002,2022-08-11,Morning,16,True
SHF0000115,STF00881,DEP0005,2022-09-11,Night,16,True
SHF0000116,STF00948,DEP0004,2024-06-11,Evening,16,True
SHF0000117,STF00718,DEP0068,2023-06-15,Evening,16,True
SHF0000118,STF00624,DEP0102,2022-03-14,Evening,20,True
SHF0000119,STF00393,DEP0067,2023-06-13,Evening,16,True
SHF0000120,STF00425,DEP0004,2024-12-16,Morning,10,False
SHF0000121,STF00820,DEP0050,2022-04-28,Evening,16,True
SHF0000122,STF00382,DEP0048,2023-06-30,Morning,12,False
SHF0000123,STF00522,DEP0089,2022-02-18,Night,7,False
SHF0000124,STF00938,DEP0026,2024-07-27,Night,6,False
SHF0000125,STF01124,DEP0013,2024-01-31,Evening,24,True
SHF0000126,STF00617,DEP0102,2022-09-24,Evening,16,True
SHF0000127,STF01036,DEP0010,2022-01-08,Morning,12,False
SHF0000128,STF01149,DEP0005,2023-07-25,Evening,37,True
SHF0000129,STF00249,DEP0093,2024-10-26,Morning,9,False
SHF0000130,STF00786,DEP0036,2022-06-19,Morning,20,True
SHF0000131,STF00736,DEP0091,2024-11-21,Morning,12,False
SHF0000132,STF00865,DEP0092,2021-05-21,Evening,7,False
SHF0000133,STF00509,DEP0092,2022-11-02,Morning,23,True
SHF0000134,STF00202,DEP0067,2023-05-04,Evening,17,True
SHF0000135,STF00216,DEP0023,2021-01-16,Morning,29,True
SHF0000136,STF00686,DEP0052,2023-01-23,Morning,30,True
SHF0000137,STF00870,DEP0094,2021-07-26,Morning,13,False
SHF0000138,STF00202,DEP0067,2023-10-26,Evening,11,False
SHF0000139,STF00157,DEP0049,2021-10-08,Morning,9,False
SHF0000140,STF00615,DEP0003,2023-10-04,Night,10,True
SHF0000141,STF00982,DEP0067,2023-05-29,Night,18,True
SHF0000142,STF00536,DEP0050,2024-06-18,Morning,16,True
SHF0000143,STF00987,DEP0045,2024-07-04,Morning,32,True
SHF0000144,STF00421,DEP0048,2023-04-23,Night,10,True
SHF0000145,STF00724,DEP0005,2022-08-25,Morning,21,True
SHF0000146,STF01036,DEP0010,2024-11-28,Evening,31,True
SHF0000147,STF00203,DEP0073,2021-05-11,Morning,24,True
SHF0000148,STF00232,DEP0024,2022-08-23,Evening,27,True
SHF0000149,STF00087,DEP0066,2024-07-15,Morning,13,False
SHF0000150,STF00470,DEP0070,2024-05-14,Morning,11,False
SHF0000151,STF00459,DEP0089,2022-11-06,Morning,15,True
SHF0000152,STF00539,DEP0071,2024-07-17,Evening,39,True
SHF0000153,STF00958,DEP0045,2022-11-15,Morning,20,True
SHF0000154,STF01150,DEP0089,2023-08-23,Night,6,False
SHF0000155,STF00207,DEP0002,2021-04-12,Morning,10,False
SHF0000156,STF00333,DEP0007,2021-10-25,Night,6,False
SHF0000157,STF00394,DEP0049,2022-10-11,Evening,15,True
SHF0000158,STF01145,DEP0044,2023-04-05,Morning,8,False
SHF0000159,STF00562,DEP0001,2021-04-03,Evening,13,False
SHF0000160,STF00911,DEP0047,2021-05-06,Evening,21,True
SHF0000161,STF00681,DEP0070,2022-07-24,Evening,20,True
SHF0000162,STF00180,DEP0095,2024-01-19,Morning,9,False
SHF0000163,STF00683,DEP0040,2024-04-02,Morning,16,True
SHF0000164,STF00674,DEP0093,2022-04-27,Night,6,False
SHF0000165,STF00239,DEP0008,2023-11-28,Morning,20,True
SHF0000166,STF00751,DEP0006,2024-09-17,Night,12,True
SHF0000167,STF00584,DEP0015,2022-03-30,Night,11,True
SHF0000168,STF00424,DEP0092,2023-10-21,Evening,29,True
SHF0000169,STF00870,DEP0094,2023-11-12,Night,4,False
SHF0000170,STF00263,DEP0093,2023-04-11,Evening,21,True
SHF0000171,STF00760,DEP0097,2024-06-16,Evening,11,False
SHF0000172,STF00322,DEP0033,2023-06-23,Morning,20,True
SHF0000173,STF01042,DEP0048,2021-03-10,Evening,10,False
SHF0000174,STF00122,DEP0072,2024-05-05,Night,13,True
SHF0000175,STF00289,DEP0070,2021-11-05,Night,11,True
SHF0000176,STF00436,DEP0026,2023-03-28,Evening,19,True
SHF0000177,STF00891,DEP0088,2022-06-22,Morning,36,True
SHF0000178,STF01135,DEP0006,2024-06-14,Night,11,True
SHF0000179,STF00733,DEP0046,2022-11-06,Morning,36,True
SHF0000180,STF00993,DEP0001,2024-01-16,Evening,11,False
SHF0000181,STF00714,DEP0074,2021-07-06,Night,12,True
SHF0000182,STF00829,DEP0045,2024-10-20,Morning,9,False
SHF0000183,STF00109,DEP0087,2023-09-23,Night,16,True
SHF0000184,STF00036,DEP0028,2023-11-05,Night,5,False
SHF0000185,STF00911,DEP0047,2023-04-27,Morning,21,True
SHF0000186,STF00289,DEP0070,2021-07-09,Night,7,False
SHF0000187,STF00522,DEP0089,2023-06-18,Morning,11,False
SHF0000188,STF01018,DEP0083,2021-05-01,Morning,13,False
SHF0000189,STF00151,DEP0089,2024-10-24,Evening,13,False
SHF0000190,STF00778,DEP0090,2021-05-16,Night,7,False
SHF0000191,STF00912,DEP0031,2021-05-24,Night,8,False
SHF0000192,STF01001,DEP0064,2021-12-25,Evening,10,False
SHF0000193,STF00789,DEP0028,2024-07-07,Evening,53,True
SHF0000194,STF00298,DEP0026,2022-09-06,Night,10,True
SHF0000195,STF00202,DEP0067,2021-06-24,Evening,9,False
SHF0000196,STF00900,DEP0067,2021-07-12,Night,7,False
SHF0000197,STF00060,DEP0006,2024-08-27,Night,11,True
SHF0000198,STF01071,DEP0012,2024-08-17,Morning,24,True
SHF0000199,STF00538,DEP0024,2023-03-07,Evening,10,False
SHF0000200,STF00317,DEP0002,2022-03-16,Night,6,False
SHF0000201,STF00958,DEP0045,2021-08-28,Evening,14,False
SHF0000202,STF00008,DEP0073,2024-10-21,Morning,8,False
SHF0000203,STF00366,DEP0001,2023-01-23,Night,7,False
SHF0000204,STF00625,DEP0063,2024-11-05,Night,9,False
SHF0000205,STF00882,DEP0010,2021-01-15,Evening,10,False
SHF0000206,STF00375,DEP0001,2023-05-11,Evening,8,False
SHF0000207,STF01133,DEP0005,2023-05-26,Morning,12,False
SHF0000208,STF00236,DEP0051,2021-01-29,Night,17,True
SHF0000209,STF00466,DEP0027,2021-02-22,Evening,15,True
SHF0000210,STF00491,DEP0091,2022-11-30,Night,7,False
SHF0000211,STF00690,DEP0057,2024-02-07,Evening,11,False
SHF0000212,STF00446,DEP0073,2023-10-05,Morning,6,False
SHF0000213,STF00626,DEP0104,2024-02-16,Night,8,False
SHF0000214,STF00124,DEP0051,2022-09-14,Morning,27,True
SHF0000215,STF00565,DEP0064,2024-04-03,Morning,9,False
SHF0000216,STF01074,DEP0072,2022-06-29,Morning,9,False
SHF0000217,STF00635,DEP0101,2022-01-09,Morning,16,True
SHF0000218,STF00637,DEP0086,2022-03-17,Night,8,False
SHF0000219,STF00460,DEP0032,2023-10-26,Evening,17,True
SHF0000220,STF00605,DEP0079,2022-04-03,Evening,9,False
SHF0000221,STF01101,DEP0092,2023-05-09,Night,9,False
SHF0000222,STF00996,DEP0028,2024-10-01,Morning,15,True
SHF0000223,STF00370,DEP0071,2021-02-20,Night,9,False
SHF0000224,STF00624,DEP0102,2022-12-16,Night,14,True
SHF0000225,STF00293,DEP0036,2024-11-03,Evening,15,True
SHF0000226,STF00616,DEP0022,2021-05-12,Evening,15,True
SHF0000227,STF00943,DEP0031,2021-10-21,Morning,19,True
SHF0000228,STF00815,DEP0052,2021-08-08,Evening,27,True
SHF0000229,STF01062,DEP0074,2023-01-26,Evening,8,False
SHF0000230,STF00815,DEP0052,2022-06-02,Night,9,False
SHF0000231,STF00604,DEP0098,2021-04-04,Morning,18,True
SHF0000232,STF00733,DEP0046,2022-04-28,Morning,14,False
SHF0000233,STF00892,DEP0089,2024-06-02,Evening,23,True
SHF0000234,STF00677,DEP0084,2021-10-26,Morning,12,False
SHF0000235,STF01024,DEP0005,2024-11-25,Night,8,False
SHF0000236,STF00790,DEP0068,2024-08-29,Morning,11,False
SHF0000237,STF00908,DEP0067,2023-01-06,Night,14,True
SHF0000238,STF01199,DEP0036,2022-03-31,Morning,11,False
SHF0000239,STF00090,DEP0069,2021-10-15,Evening,8,False
SHF0000240,STF00755,DEP0046,2024-01-28,Night,29,True
SHF0000241,STF00805,DEP0049,2023-01-22,Night,6,False
SHF0000242,STF00828,DEP0002,2021-05-03,Morning,8,False
SHF0000243,STF00910,DEP0046,2024-09-06,Morning,18,True
SHF0000244,STF00677,DEP0084,2022-12-22,Evening,24,True
SHF0000245,STF00803,DEP0007,2023-07-28,Morning,37,True
SHF0000246,STF00655,DEP0004,2024-10-26,Morning,12,False
SHF0000247,STF00891,DEP0088,2021-10-28,Night,19,True
SHF0000248,STF00199,DEP0094,2024-07-22,Evening,18,True
SHF0000249,STF00061,DEP0021,2021-02-21,Morning,14,False
SHF0000250,STF00809,DEP0048,2024-10-05,Morning,15,True
SHF0000251,STF00085,DEP0087,2021-12-25,Morning,22,True
SHF0000252,STF00084,DEP0009,2022-08-27,Evening,44,True
SHF0000253,STF00518,DEP0006,2022-09-27,Night,8,False
SHF0000254,STF00637,DEP0086,2021-11-17,Evening,13,False
SHF0000255,STF01200,DEP0093,2023-07-07,Morning,29,True
SHF0000256,STF00245,DEP0096,2021-06-14,Morning,41,True
SHF0000257,STF00233,DEP0005,2024-10-02,Night,7,False
SHF0000258,STF00164,DEP0096,2023-07-23,Morning,27,True
SHF0000259,STF01090,DEP0052,2021-07-05,Evening,13,False
SHF0000260,STF00332,DEP0073,2022-01-06,Morning,19,True
SHF0000261,STF00361,DEP0094,2023-10-30,Evening,17,True
SHF0000262,STF00870,DEP0094,2021-04-30,Night,14,True
SHF0000263,STF00457,DEP0049,2023-05-21,Night,9,False
SHF0000264,STF00734,DEP0031,2022-04-13,Evening,9,False
SHF0000265,STF00028,DEP0023,2023-10-30,Night,6,False
SHF0000266,STF00912,DEP0031,2024-04-14,Morning,9,False
SHF0000267,STF00992,DEP0051,2022-09-05,Evening,19,True
SHF0000268,STF01039,DEP0074,2024-03-30,Evening,17,True
SHF0000269,STF00764,DEP0054,2023-12-07,Night,18,True
SHF0000270,STF01194,DEP0054,2024-12-14,Night,8,False
SHF0000271,STF01108,DEP0092,2023-12-24,Night,13,True
SHF0000272,STF00650,DEP0093,2021-07-27,Night,9,False
SHF0000273,STF00519,DEP0002,2023-04-14,Evening,9,False
SHF0000274,STF01132,DEP0036,2021-02-25,Morning,8,False
SHF0000275,STF00657,DEP0089,2024-11-10,Morning,18,True
SHF0000276,STF00128,DEP0089,2024-11-19,Morning,16,True
SHF0000277,STF00561,DEP0102,2024-09-22,Night,9,False
SHF0000278,STF00825,DEP0007,2022-06-11,Morning,16,True
SHF0000279,STF00013,DEP0093,2023-09-21,Night,9,False
SHF0000280,STF00165,DEP0044,2023-07-21,Morning,9,False
SHF0000281,STF01015,DEP0004,2023-10-24,Night,5,False
SHF0000282,STF00371,DEP0076,2023-09-05,Evening,14,False
SHF0000283,STF01164,DEP0089,2022-07-18,Morning,16,True
SHF0000284,STF00538,DEP0024,2023-05-30,Evening,19,True
SHF0000285,STF01142,DEP0068,2023-09-22,Night,6,False
SHF0000286,STF00288,DEP0025,2022-11-09,Morning,10,False
SHF0000287,STF00540,DEP0045,2022-06-18,Evening,8,False
SHF0000288,STF00408,DEP0054,2024-03-19,Evening,10,False
SHF0000289,STF00655,DEP0004,2023-07-13,Morning,11,False
SHF0000290,STF00830,DEP0070,2024-06-18,Morning,14,False
SHF0000291,STF00711,DEP0070,2023-01-20,Night,11,True
SHF0000292,STF00368,DEP0074,2021-12-29,Evening,20,True
SHF0000293,STF00282,DEP0045,2021-01-24,Evening,45,True
SHF0000294,STF00494,DEP0089,2022-04-03,Evening,11,False
SHF0000295,STF00379,DEP0045,2022-09-05,Night,8,False
SHF0000296,STF00030,DEP0092,2024-12-27,Evening,21,True
SHF0000297,STF00366,DEP0001,2022-04-21,Morning,6,False
SHF0000298,STF00392,DEP0070,2022-07-27,Morning,35,True
SHF0000299,STF00142,DEP0068,2023-09-11,Morning,40,True
SHF0000300,STF00201,DEP0027,2024-05-05,Evening,20,True
SHF0000301,STF01185,DEP0009,2023-06-25,Morning,46,True
SHF0000302,STF00730,DEP0007,2024-03-26,Night,7,False
SHF0000303,STF00358,DEP0001,2021-10-20,Morning,15,True
SHF0000304,STF01144,DEP0048,2024-07-31,Evening,12,False
SHF0000305,STF00107,DEP0089,2023-01-22,Morning,33,True
SHF0000306,STF00038,DEP0052,2021-11-29,Night,8,False
SHF0000307,STF00356,DEP0057,2023-06-25,Morning,12,False
SHF0000308,STF01020,DEP0083,2021-09-11,Night,10,True
SHF0000309,STF00136,DEP0095,2024-07-18,Evening,20,True
SHF0000310,STF00488,DEP0004,2024-04-21,Morning,14,False
SHF0000311,STF00016,DEP0097,2024-11-22,Night,10,True
SHF0000312,STF00627,DEP0049,2023-07-16,Evening,40,True
SHF0000313,STF00331,DEP0098,2023-01-31,Evening,8,False
SHF0000314,STF00103,DEP0095,2023-04-22,Evening,10,False
SHF0000315,STF00857,DEP0053,2021-05-16,Night,10,True
SHF0000316,STF01130,DEP0040,2023-07-16,Evening,19,True
SHF0000317,STF01104,DEP0052,2022-10-12,Morning,8,False
SHF0000318,STF00465,DEP0096,2022-10-31,Night,8,False
SHF0000319,STF00985,DEP0035,2024-03-04,Morning,11,False
SHF0000320,STF00179,DEP0008,2021-10-20,Evening,12,False
SHF0000321,STF01153,DEP0045,2021-06-16,Night,19,True
SHF0000322,STF00787,DEP0092,2022-10-01,Morning,13,False
SHF0000323,STF00820,DEP0050,2023-11-25,Evening,7,False
SHF0000324,STF01047,DEP0009,2023-08-08,Morning,21,True
SHF0000325,STF00559,DEP0071,2021-02-22,Night,17,True
SHF0000326,STF00762,DEP0067,2021-10-19,Evening,8,False
SHF0000327,STF00246,DEP0045,2021-08-07,Night,10,True
SHF0000328,STF01131,DEP0003,2024-08-01,Night,6,False
SHF0000329,STF00785,DEP0093,2022-02-11,Morning,9,False
SHF0000330,STF00260,DEP0075,2024-01-12,Morning,32,True
SHF0000331,STF01083,DEP0029,2021-12-21,Night,25,True
SHF0000332,STF00199,DEP0094,2021-05-05,Morning,8,False
SHF0000333,STF00410,DEP0033,2023-12-21,Morning,22,True
SHF0000334,STF00431,DEP0007,2021-11-17,Morning,12,False
SHF0000335,STF00574,DEP0006,2023-09-20,Morning,12,False
SHF0000336,STF00087,DEP0066,2024-05-14,Evening,9,False
SHF0000337,STF00005,DEP0094,2021-03-22,Evening,11,False
SHF0000338,STF01069,DEP0070,2024-04-10,Night,7,False
SHF0000339,STF00182,DEP0027,2022-08-05,Night,13,True
SHF0000340,STF01084,DEP0055,2024-03-29,Evening,19,True
SHF0000341,STF00489,DEP0007,2022-02-11,Night,11,True
SHF0000342,STF00109,DEP0087,2021-01-27,Evening,12,False
SHF0000343,STF01159,DEP0060,2022-12-05,Night,5,False
SHF0000344,STF00170,DEP0050,2021-01-18,Evening,12,False
SHF0000345,STF00422,DEP0074,2024-06-07,Night,7,False
SHF0000346,STF01051,DEP0006,2024-03-15,Morning,12,False
SHF0000347,STF01123,DEP0043,2022-04-29,Morning,14,False
SHF0000348,STF00356,DEP0057,2023-07-07,Night,25,True
SHF0000349,STF00862,DEP0028,2022-10-15,Night,13,True
SHF0000350,STF01175,DEP0026,2022-05-05,Night,8,False
SHF0000351,STF00076,DEP0091,2022-01-24,Morning,16,True
SHF0000352,STF00231,DEP0048,2024-01-13,Morning,60,True
SHF0000353,STF01025,DEP0067,2022-05-07,Morning,21,True
SHF0000354,STF01186,DEP0003,2022-11-25,Night,15,True
SHF0000355,STF00143,DEP0074,2022-04-30,Night,15,True
SHF0000356,STF01137,DEP0007,2022-12-11,Morning,16,True
SHF0000357,STF00188,DEP0030,2021-11-15,Night,13,True
SHF0000358,STF00950,DEP0006,2022-06-15,Evening,8,False
SHF0000359,STF00147,DEP0068,2022-07-09,Night,12,True
SHF0000360,STF00406,DEP0055,2021-08-25,Evening,18,True
SHF0000361,STF01050,DEP0067,2022-09-10,Morning,26,True
SHF0000362,STF00511,DEP0067,2024-03-31,Night,7,False
SHF0000363,STF00255,DEP0079,2021-12-30,Evening,23,True
SHF0000364,STF01128,DEP0102,2021-07-16,Evening,40,True
SHF0000365,STF00739,DEP0048,2021-10-03,Morning,14,False
SHF0000366,STF00048,DEP0004,2023-09-26,Morning,18,True
SHF0000367,STF00417,DEP0048,2021-11-26,Night,6,False
SHF0000368,STF00865,DEP0092,2021-11-01,Evening,20,True
SHF0000369,STF00001,DEP0043,2024-04-26,Evening,17,True
SHF0000370,STF01078,DEP0050,2021-08-15,Morning,12,False
SHF0000371,STF00302,DEP0004,2024-04-20,Evening,22,True
SHF0000372,STF00683,DEP0040,2021-12-15,Evening,15,True
SHF0000373,STF00681,DEP0070,2024-08-08,Morning,25,True
SHF0000374,STF00990,DEP0069,2024-10-09,Night,7,False
SHF0000375,STF00234,DEP0096,2022-02-28,Night,15,True
SHF0000376,STF01011,DEP0049,2023-02-14,Morning,27,True
SHF0000377,STF00279,DEP0089,2024-02-17,Morning,12,False
SHF0000378,STF01061,DEP0094,2022-07-03,Evening,11,False
SHF0000379,STF00738,DEP0026,2022-02-08,Morning,7,False
SHF0000380,STF00961,DEP0007,2024-08-31,Morning,14,False
SHF0000381,STF00178,DEP0026,2023-04-06,Evening,20,True
SHF0000382,STF00083,DEP0027,2023-03-07,Night,13,True
SHF0000383,STF00864,DEP0005,2022-01-12,Morning,7,False
SHF0000384,STF00121,DEP0076,2021-01-28,Night,6,False
SHF0000385,STF00552,DEP0092,2023-08-24,Morning,51,True
SHF0000386,STF00366,DEP0001,2021-10-01,Night,7,False
SHF0000387,STF00173,DEP0047,2022-01-28,Night,5,False
SHF0000388,STF00906,DEP0014,2021-01-18,Morning,7,False
SHF0000389,STF00364,DEP0006,2021-04-13,Evening,15,True
SHF0000390,STF00326,DEP0071,2021-01-29,Morning,25,True
SHF0000391,STF01005,DEP0089,2024-09-04,Morning,27,True
SHF0000392,STF01003,DEP0023,2021-09-10,Evening,39,True
SHF0000393,STF00128,DEP0089,2021-02-09,Morning,13,False
SHF0000394,STF00018,DEP0036,2024-09-12,Evening,16,True
SHF0000395,STF00240,DEP0094,2022-02-07,Evening,14,False
SHF0000396,STF00760,DEP0097,2023-12-15,Evening,14,False
SHF0000397,STF00243,DEP0089,2021-12-05,Morning,13,False
SHF0000398,STF00155,DEP0073,2024-12-16,Night,13,True
SHF0000399,STF00511,DEP0067,2024-11-19,Night,13,True
SHF0000400,STF00114,DEP0093,2023-12-28,Morning,15,True
SHF0000401,STF01195,DEP0028,2021-12-26,Evening,17,True
SHF0000402,STF00672,DEP0004,2024-03-15,Morning,42,True
SHF0000403,STF00170,DEP0050,2023-11-26,Night,6,False
SHF0000404,STF01027,DEP0096,2024-11-05,Morning,12,False
SHF0000405,STF00354,DEP0092,2024-09-26,Night,12,True
SHF0000406,STF00875,DEP0051,2021-05-19,Night,10,True
SHF0000407,STF01010,DEP0067,2024-02-12,Evening,8,False
SHF0000408,STF00039,DEP0033,2024-06-10,Evening,28,True
SHF0000409,STF01078,DEP0050,2022-07-21,Morning,15,True
SHF0000410,STF00347,DEP0067,2023-10-18,Evening,17,True
SHF0000411,STF00218,DEP0072,2022-04-29,Evening,28,True
SHF0000412,STF00153,DEP0104,2021-11-29,Morning,18,True
SHF0000413,STF01128,DEP0102,2023-01-05,Morning,19,True
SHF0000414,STF00959,DEP0001,2024-08-01,Morning,21,True
SHF0000415,STF00069,DEP0030,2023-06-13,Night,13,True
SHF0000416,STF00910,DEP0046,2022-01-18,Morning,11,False
SHF0000417,STF00123,DEP0021,2022-01-18,Evening,9,False
SHF0000418,STF00713,DEP0072,2021-10-08,Morning,9,False
SHF0000419,STF00268,DEP0094,2021-04-07,Evening,8,False
SHF0000420,STF00149,DEP0091,2024-06-14,Evening,34,True
SHF0000421,STF01007,DEP0048,2022-10-28,Night,19,True
SHF0000422,STF01144,DEP0048,2024-09-11,Evening,10,False
SHF0000423,STF00690,DEP0057,2022-12-12,Night,17,True
SHF0000424,STF00043,DEP0028,2024-11-12,Evening,13,False
SHF0000425,STF00185,DEP0004,2022-02-18,Morning,21,True
SHF0000426,STF00164,DEP0096,2022-02-08,Morning,14,False
